form	segmentation	pos	morph_tag
niġeffi	niġe-v-ve	noun	2POSS.SG-GEN
niġippi	niġe-v-ve	noun	2POSS.SG-GEN
nurandiġinina	nurandiġi-nna	noun	EQU2
nurandiġinna	nurandiġi-nna	noun	EQU2
nilōž	nēli-ož	noun	EQU
nēlōž	nēli-ož	noun	EQU
neri	nēr-i	verb	ANTIP
nēri	nēr-i	verb	ANTIP
nūwarrīvan	nūv+ar+i-ne-va=an	noun	RELAT.SG-DAT=CON
nūwarrīvān	nūv+ar+i-ne-va=an	noun	RELAT.SG-DAT=CON
nūwarrīvan	nūv+ar+i-ne-va=n	noun	RELAT.SG-DAT=3SG.ABS
nūwarrīvān	nūv+ar+i-ne-va=n	noun	RELAT.SG-DAT=3SG.ABS
ulaffa	oli-a=ffa	PRON	ESS=2PL.ABS
ulappa	oli-a=ffa	PRON	ESS=2PL.ABS
ulli	oli-ne	PRON	ABL/INS
ōlli	oli-ne	PRON	ABL/INS
ulli	oli-ne-e	PRON	RELAT.SG-DIR/LOC
ōlli	oli-ne-e	PRON	RELAT.SG-DIR/LOC
ulluġužibāe	oll+uġ+o+že-ve-ae	noun	GEN-INS
ulluġužibāi	oll+uġ+o+že-ve-ae	noun	GEN-INS
ulluġōžibāe	oll+uġ+o+že-ve-ae	noun	GEN-INS
uminna	omini-na	noun	RELAT.PL.ABS
ōmminna	omini-na	noun	RELAT.PL.ABS
uminnāža	omini-na-až-a	noun	RELAT.PL-PL-DAT/ESS
umminnāža	omini-na-až-a	noun	RELAT.PL-PL-DAT/ESS
unnu	onnu	CONJ	
ōnnu	onnu	CONJ	
urida	ori-i-da	noun	3POSS.SG-DIR
urīda	ori-i-da	noun	3POSS.SG-DIR
