form	segmentation	pos	morph_tag
kumrie	kumri-e	noun	3POSS.SG.ABS
kumrie	kumri-i-e	noun	3POSS.SG-DIR/LOC
kuraḫḫa	kur+a+ḫḫe-a	noun	ESS
kuraḫḫa	kur+aḫḫ+i-a	noun	ESS
kutkūda	kut+kūd-a	verb	3A.SG
kutkūda	kutk-ud-a	verb	ud-3A.SG
kutteni	kutte-ne	noun	ABL/INS
kutteni	kutte-ne-e	noun	RELAT.SG-DIR/LOC
kuttivenna	kuttive+ni-na	noun	RELAT.PL.ABS
kuttivenna	kuttive-na	noun	RELAT.PL
kuttivenna	kuttive-nna	noun	EQU2
kužuškuženie	kuž+u+šk+o+že-ne	noun	ABL/INS
kužuškuženie	kuž+u+šk+o+že-ne-e	noun	RELAT.SG-DIR/LOC
kužuškuženie	kuž+u+šk+o+že-ne-ve	noun	RELAT.SG-GEN
kāde	kadi	noun	.ABS
kāde	kāde	noun	.ABS
kādūlāīn	kad-o-l-ai-n	verb	MOD.PAT-l-PURP-n
kādūlāīn	kad-o-l-ai=n	verb	MOD.PAT-l-PURP=3SG.ABS
kādūlāīn	kad-ol-i-ai-n	verb	ol-MOD.AG-PURP-n
kādūlāīn	kad-ol-i-ai=n	verb	ol-MOD.AG-PURP=3SG.ABS
kēba	ke-i-eva	verb	MOD.AG-POT
kēba	kev-a	verb	INT
kēbini	kēbi-ne	noun	ABL/INS
kēbini	kēbi-ne-e	noun	RELAT.SG-DIR/LOC
kēlġēdeni	kēlġēdi-ne	noun	ABL/INS
kēlġēdeni	kēlġēdi-ne-e	noun	RELAT.SG-DIR/LOC
kēnnādal	kēnn+ār+i-a=l	noun	ESS=3PL.ABS
kēnnādal	kēnnādi-a=l	noun	ESS=3PL.ABS
kēnnādal	kēnn-ad-a=l	verb	ad-INT=3PL.ABS
kēnnādal	kēnn-ar-a=l	verb	ITER-INT=3PL.ABS
kērēni	kēri-e-ne	noun	3POSS.SG-ABL/INS
kērēni	kērē-ne	noun	ABL/INS
kērēni	kērē-ne-e	noun	RELAT.SG-DIR/LOC
kīli	ke-i-le	verb	MOD.AG-1JUSS
kīli	kil-i	verb	ANTIP
kīzirženi	kīzir+že-ne	noun	ABL/INS
kīzirženi	kīzir+že-ne-e	noun	RELAT.SG-DIR/LOC
kūmdenivenin	kūm+de-ne-ve-ne-e=n	noun	RELAT.SG-GEN-RELAT.SG-DIR/LOC=3SG.ABS
kūmdenivenin	kūm+de-ne-ve-ne-n	noun	RELAT.SG-GEN-RELAT.SG-ABL/INS
kūninin	kune-ne-e=n	noun	RELAT.SG-DIR/LOC=3SG.ABS
kūninin	kune-ne-n	noun	RELAT.SG-ABL/INS
kūninin	kune-ne=n	noun	ABL/INS=3SG.ABS
lablaḫḫini	labla+ḫḫe-ne	noun	ABL/INS
lablaḫḫini	labla+ḫḫe-ne-e	noun	RELAT.SG-DIR/LOC
laġlaḫḫini	laġlaḫḫi-ne	noun	ABL/INS
laġlaḫḫini	laġlaḫḫi-ne-e	noun	RELAT.SG-DIR/LOC
madla	mad-l-a	verb	l-INT
madla	madl-a	verb	INT
mana	man-a	PRON	ESS
mana	mān+a	PRON	
manzōž	man-z-ož	PRON	PL-ERG
manzōž	manu-ž-ož	PRON	PL-ERG
mardamanni	mardam+a+ni-ne	noun	ABL/INS
mardamanni	mardam+a+ni-ne-e	noun	RELAT.SG-DIR/LOC
mardamanni	mardam+a+nni	noun	.ABS
mardamanni	mardamanni	noun	.ABS
marninel	marne-ne-e=l	noun	RELAT.SG-DIR/LOC=3PL.ABS
marninel	marne-ne=l	noun	ABL/INS=3PL.ABS
maruda	mar-ud-a	verb	ud-3A.SG
maruda	marudi-a	verb	ESS
